incident_id,filename,title,date,severity,region,failure_family,primary_service,technology,root_cause,ground_truth_pattern,impact,duration_minutes,symptoms,contributing_factors,preventive_actions
INC-0001,INC-0001_dns-failure-001.md,payout-service elevated checkout latency due to coredns resolver saturation,2025-01-08,SEV3,US,DNS Failures,payout-service,CoreDNS,CoreDNS resolver saturation,dependency discovery failure,elevated checkout latency,57,retry spikes; slow dependency calls; pod restarts; elevated p95 latency; manual mitigation required; increased timeout rate,dependency discovery failure; unclear ownership; synchronized traffic bursts; insufficient backpressure,enforce config validation; document runbook; add synthetic transaction check; add load test scenario
INC-0018,INC-0018_retry-storm-008.md,gateway-adapter inconsistent payment method availability due to duplicate retry layer in gateway and service,2025-02-28,SEV2,EU,Retry Storms,gateway-adapter,RabbitMQ,duplicate retry layer in gateway and service,partial degradation amplified by retries,inconsistent payment method availability,142,burst traffic to downstream dependency; CPU saturation; partial customer impact; intermittent 5xx errors; queue growth; inconsistent state observed by customers,partial degradation amplified by retries; insufficient backpressure; unclear ownership; manual rollback process,add load test scenario; add canary validation; add bulkhead isolation; enforce config validation
INC-0019,INC-0019_retry-storm-009.md,transaction-worker delayed payment status updates due to consumer retry amplification,2025-03-04,SEV3,EU,Retry Storms,transaction-worker,SQL Server,consumer retry amplification,queue growth,delayed payment status updates,67,elevated p95 latency; increased timeout rate; slow dependency calls; pod restarts; partial customer impact; inconsistent state observed by customers,queue growth; manual rollback process; insufficient load testing; missing circuit breaker,add load test scenario; add SLO alerting; enforce config validation; improve idempotency handling
INC-0020,INC-0020_retry-storm-010.md,notification-dispatcher delayed payouts due to retry storm during partial dependency degradation,2025-03-07,SEV2,EU,Retry Storms,notification-dispatcher,SQL Server,retry storm during partial dependency degradation,dependency saturation,delayed payouts,106,inconsistent state observed by customers; burst traffic to downstream dependency; increased timeout rate; delayed async processing; intermittent 5xx errors; connection pool pressure,dependency saturation; high-cardinality metrics; manual rollback process; lack of bulkhead isolation,introduce jittered exponential backoff; document runbook; enforce config validation; add bulkhead isolation
INC-0021,INC-0021_oom-memory-001.md,risk-engine merchant portal degradation due to unbounded in-memory cache,2025-03-09,SEV2,APAC,OOM / Memory Leaks,risk-engine,ASP.NET Core,unbounded in-memory cache,pod restarts,merchant portal degradation,162,slow dependency calls; intermittent 5xx errors; queue growth; pod restarts; long GC pauses; delayed async processing,pod restarts; lack of bulkhead isolation; limited runbook coverage; insufficient load testing,add synthetic transaction check; introduce jittered exponential backoff; add dependency saturation dashboard; add load test scenario
INC-0022,INC-0022_oom-memory-002.md,notification-service delayed payouts due to high-cardinality opentelemetry metrics,2025-03-12,SEV1,US,OOM / Memory Leaks,notification-service,ASP.NET Core,high-cardinality OpenTelemetry metrics,GC pauses,delayed payouts,101,intermittent 5xx errors; elevated p95 latency; OOMKilled pods; queue growth; CPU saturation; slow dependency calls,GC pauses; missing circuit breaker; limited runbook coverage; manual rollback process,enforce config validation; add synthetic transaction check; add cache invalidation test; document runbook
INC-0023,INC-0023_oom-memory-003.md,admin-api inconsistent payment method availability due to large object heap fragmentation,2025-03-15,SEV3,EU,OOM / Memory Leaks,admin-api,ASP.NET Core,large object heap fragmentation,progressive resource exhaustion,inconsistent payment method availability,130,OOMKilled pods; elevated p95 latency; connection pool pressure; queue growth; increased timeout rate; CPU saturation,progressive resource exhaustion; weak alerting; limited runbook coverage; lack of bulkhead isolation,enforce config validation; add bulkhead isolation; add synthetic transaction check; introduce jittered exponential backoff
INC-0024,INC-0024_oom-memory-004.md,risk-engine inconsistent payment method availability due to memory leak in background worker,2025-03-20,SEV2,US,OOM / Memory Leaks,risk-engine,JSON serializer,memory leak in background worker,capacity degradation,inconsistent payment method availability,185,long GC pauses; inconsistent state observed by customers; queue growth; intermittent 5xx errors; CPU saturation; increased timeout rate,capacity degradation; high-cardinality metrics; unclear ownership; synchronized traffic bursts,add dependency saturation dashboard; introduce jittered exponential backoff; improve idempotency handling; document runbook
INC-0025,INC-0025_oom-memory-005.md,settlement-service merchant portal degradation due to unbounded request buffering,2025-03-23,SEV3,EU,OOM / Memory Leaks,settlement-service,ASP.NET Core,unbounded request buffering,pod restarts,merchant portal degradation,126,OOMKilled pods; pod restarts; elevated p95 latency; queue growth; long GC pauses; delayed async processing,pod restarts; synchronized traffic bursts; insufficient backpressure; manual rollback process,add load test scenario; enforce config validation; improve idempotency handling; document runbook
INC-0026,INC-0026_oom-memory-006.md,settlement-service merchant portal degradation due to thread-local data retained after requests,2025-03-26,SEV2,EU,OOM / Memory Leaks,settlement-service,OpenTelemetry,thread-local data retained after requests,GC pauses,merchant portal degradation,108,manual mitigation required; delayed async processing; retry spikes; CPU saturation; memory growth over several hours; slow dependency calls,GC pauses; insufficient load testing; insufficient backpressure; manual rollback process,add dependency saturation dashboard; enforce config validation; introduce jittered exponential backoff; add synthetic transaction check
INC-0027,INC-0027_oom-memory-007.md,admin-api merchant portal degradation due to serializer buffer growth,2025-03-28,SEV2,US,OOM / Memory Leaks,admin-api,.NET GC,serializer buffer growth,GC pauses,merchant portal degradation,105,connection pool pressure; manual mitigation required; memory growth over several hours; pod restarts; intermittent 5xx errors; increased timeout rate,GC pauses; limited runbook coverage; insufficient backpressure; insufficient load testing,add cache invalidation test; add SLO alerting; improve idempotency handling; document runbook
INC-0028,INC-0028_oom-memory-008.md,admin-api delayed payouts due to image/document payload retained in memory,2025-03-30,SEV2,Global,OOM / Memory Leaks,admin-api,.NET GC,image/document payload retained in memory,pod restarts,delayed payouts,51,OOMKilled pods; delayed async processing; intermittent 5xx errors; manual mitigation required; partial customer impact; retry spikes,pod restarts; synchronized traffic bursts; missing circuit breaker; weak alerting,add load test scenario; improve idempotency handling; enforce config validation; add bulkhead isolation
INC-0029,INC-0029_oom-memory-009.md,risk-engine elevated checkout latency due to connection objects not disposed,2025-04-03,SEV2,US-East,OOM / Memory Leaks,risk-engine,OpenTelemetry,connection objects not disposed,progressive resource exhaustion,elevated checkout latency,48,queue growth; manual mitigation required; slow dependency calls; OOMKilled pods; elevated p95 latency; partial customer impact,progressive resource exhaustion; insufficient load testing; manual rollback process; lack of bulkhead isolation,add SLO alerting; enforce config validation; add synthetic transaction check; add dependency saturation dashboard
INC-0030,INC-0030_oom-memory-010.md,settlement-service elevated checkout latency due to infinite accumulation of failed jobs,2025-04-06,SEV3,Global,OOM / Memory Leaks,settlement-service,Redis cache client,infinite accumulation of failed jobs,capacity degradation,elevated checkout latency,155,long GC pauses; CPU saturation; pod restarts; delayed async processing; slow dependency calls; intermittent 5xx errors,capacity degradation; lack of bulkhead isolation; unclear ownership; missing circuit breaker,add synthetic transaction check; improve idempotency handling; enforce config validation; add canary validation
INC-0031,INC-0031_cache-failure-001.md,payment-methods-api delayed payment status updates due to stale redis cache after provider config update,2025-04-09,SEV1,US,Cache Failures,payment-methods-api,CDN cache,stale Redis cache after provider config update,inconsistent reads,delayed payment status updates,88,connection pool pressure; database traffic spike; elevated p95 latency; stale cached values; queue growth; increased timeout rate,inconsistent reads; unclear ownership; manual rollback process; limited runbook coverage,add cache invalidation test; add synthetic transaction check; improve idempotency handling; add SLO alerting
INC-0032,INC-0032_cache-failure-002.md,payment-methods-api delayed payment status updates due to cache stampede on hot key,2025-04-12,SEV2,US,Cache Failures,payment-methods-api,in-memory cache,cache stampede on hot key,cache miss amplification,delayed payment status updates,170,delayed async processing; pod restarts; database traffic spike; connection pool pressure; partial customer impact; cache hit ratio drop,cache miss amplification; limited runbook coverage; high-cardinality metrics; insufficient load testing,document runbook; add canary validation; add dependency saturation dashboard; introduce jittered exponential backoff
INC-0033,INC-0033_cache-failure-003.md,customer-profile-service inconsistent payment method availability due to missing ttl for eligibility cache,2025-04-15,SEV2,EU-West,Cache Failures,customer-profile-service,ElastiCache,missing TTL for eligibility cache,DB load spike,inconsistent payment method availability,156,queue growth; cache hit ratio drop; database traffic spike; intermittent 5xx errors; stale cached values; partial customer impact,DB load spike; weak alerting; high-cardinality metrics; insufficient backpressure,add SLO alerting; add cache invalidation test; add bulkhead isolation; add load test scenario
INC-0034,INC-0034_cache-failure-004.md,checkout-api increased error rate due to race in cache invalidation,2025-04-18,SEV1,EU,Cache Failures,checkout-api,ElastiCache,race in cache invalidation,DB load spike,increased error rate,94,stale cached values; partial customer impact; retry spikes; elevated p95 latency; intermittent 5xx errors; CPU saturation,DB load spike; missing circuit breaker; synchronized traffic bursts; manual rollback process,introduce jittered exponential backoff; add cache invalidation test; add load test scenario; add dependency saturation dashboard
INC-0035,INC-0035_cache-failure-005.md,customer-profile-service elevated checkout latency due to hot key overload,2025-04-21,SEV2,EU-West,Cache Failures,customer-profile-service,Redis,hot key overload,DB load spike,elevated checkout latency,155,stale cached values; intermittent 5xx errors; cache hit ratio drop; slow dependency calls; pod restarts; database traffic spike,DB load spike; synchronized traffic bursts; insufficient backpressure; missing circuit breaker,add cache invalidation test; add dependency saturation dashboard; introduce jittered exponential backoff; document runbook
INC-0036,INC-0036_cache-failure-006.md,customer-profile-service merchant portal degradation due to negative cache retained too long,2025-04-24,SEV1,Global,Cache Failures,customer-profile-service,Lua script,negative cache retained too long,stale data,merchant portal degradation,174,increased timeout rate; queue growth; intermittent 5xx errors; delayed async processing; cache hit ratio drop; CPU saturation,stale data; missing circuit breaker; unclear ownership; high-cardinality metrics,enforce config validation; add dependency saturation dashboard; add bulkhead isolation; document runbook
INC-0037,INC-0037_cache-failure-007.md,checkout-api partial payment failures due to cache warmup failure,2025-04-27,SEV3,EU,Cache Failures,checkout-api,ElastiCache,cache warmup failure,inconsistent reads,partial payment failures,64,slow dependency calls; CPU saturation; increased timeout rate; stale cached values; delayed async processing; intermittent 5xx errors,inconsistent reads; manual rollback process; high-cardinality metrics; limited runbook coverage,enforce config validation; add canary validation; add load test scenario; add SLO alerting
INC-0038,INC-0038_cache-failure-008.md,payment-methods-api inconsistent payment method availability due to inconsistent cache key generation,2025-04-29,SEV3,US-East,Cache Failures,payment-methods-api,ElastiCache,inconsistent cache key generation,stale data,inconsistent payment method availability,90,partial customer impact; CPU saturation; connection pool pressure; inconsistent state observed by customers; stale cached values; intermittent 5xx errors,stale data; weak alerting; manual rollback process; limited runbook coverage,enforce config validation; add canary validation; improve idempotency handling; add dependency saturation dashboard
INC-0039,INC-0039_cache-failure-009.md,customer-profile-service delayed payouts due to partial redis cluster failover,2025-05-04,SEV2,APAC,Cache Failures,customer-profile-service,in-memory cache,partial Redis cluster failover,DB load spike,delayed payouts,124,increased timeout rate; CPU saturation; database traffic spike; partial customer impact; intermittent 5xx errors; manual mitigation required,DB load spike; missing circuit breaker; manual rollback process; insufficient backpressure,enforce config validation; add SLO alerting; document runbook; add canary validation
INC-0040,INC-0040_cache-failure-010.md,pricing-service delayed payment status updates due to stale customer state cache,2025-05-06,SEV3,US,Cache Failures,pricing-service,CDN cache,stale customer state cache,DB load spike,delayed payment status updates,162,stale cached values; database traffic spike; delayed async processing; CPU saturation; increased timeout rate; elevated p95 latency,DB load spike; synchronized traffic bursts; unclear ownership; weak alerting,add bulkhead isolation; enforce config validation; add dependency saturation dashboard; document runbook
INC-0041,INC-0041_database-saturation-001.md,payment-api merchant portal degradation due to missing index on high-traffic query,2025-05-10,SEV2,US,Database Saturation,payment-api,read replica,missing index on high-traffic query,dependency saturation,merchant portal degradation,96,connection pool pressure; pod restarts; slow queries; CPU saturation; manual mitigation required; queue growth,dependency saturation; limited runbook coverage; insufficient load testing; weak alerting,introduce jittered exponential backoff; add dependency saturation dashboard; add load test scenario; enforce config validation
INC-0042,INC-0042_database-saturation-002.md,reporting-api delayed payouts due to connection pool exhaustion,2025-05-13,SEV3,APAC,Database Saturation,reporting-api,Entity Framework,connection pool exhaustion,queue buildup,delayed payouts,98,blocked sessions; slow queries; retry spikes; CPU saturation; connection pool pressure; manual mitigation required,queue buildup; lack of bulkhead isolation; synchronized traffic bursts; manual rollback process,document runbook; improve idempotency handling; enforce config validation; add cache invalidation test
INC-0043,INC-0043_database-saturation-003.md,settlement-worker inconsistent payment method availability due to lock contention during batch update,2025-05-16,SEV3,US-East,Database Saturation,settlement-worker,SQL Server,lock contention during batch update,queue buildup,inconsistent payment method availability,119,intermittent 5xx errors; CPU saturation; elevated p95 latency; retry spikes; connection pool pressure; slow dependency calls,queue buildup; lack of bulkhead isolation; missing circuit breaker; limited runbook coverage,add SLO alerting; introduce jittered exponential backoff; enforce config validation; improve idempotency handling
INC-0044,INC-0044_database-saturation-004.md,payment-api merchant portal degradation due to replication lag,2025-05-18,SEV2,US-East,Database Saturation,payment-api,read replica,replication lag,queue buildup,merchant portal degradation,188,manual mitigation required; partial customer impact; inconsistent state observed by customers; delayed async processing; CPU saturation; connection pool pressure,queue buildup; insufficient backpressure; missing circuit breaker; unclear ownership,add dependency saturation dashboard; enforce config validation; add cache invalidation test; add bulkhead isolation
INC-0045,INC-0045_database-saturation-005.md,settlement-worker delayed payment status updates due to slow query plan regression,2025-05-21,SEV3,EU,Database Saturation,settlement-worker,PostgreSQL,slow query plan regression,queue buildup,delayed payment status updates,36,delayed async processing; pod restarts; retry spikes; queue growth; connection pool pressure; DB CPU saturation,queue buildup; synchronized traffic bursts; weak alerting; insufficient load testing,improve idempotency handling; document runbook; add synthetic transaction check; introduce jittered exponential backoff
INC-0046,INC-0046_database-saturation-006.md,ledger-service partial payment failures due to long-running transaction,2025-05-25,SEV2,US-East,Database Saturation,ledger-service,read replica,long-running transaction,queue buildup,partial payment failures,141,partial customer impact; increased timeout rate; CPU saturation; blocked sessions; slow dependency calls; intermittent 5xx errors,queue buildup; manual rollback process; high-cardinality metrics; limited runbook coverage,add synthetic transaction check; add dependency saturation dashboard; document runbook; enforce config validation
INC-0047,INC-0047_database-saturation-007.md,merchant-config-service partial payment failures due to tempdb saturation,2025-05-27,SEV3,APAC,Database Saturation,merchant-config-service,MySQL,tempdb saturation,queue buildup,partial payment failures,190,elevated p95 latency; slow dependency calls; slow queries; inconsistent state observed by customers; delayed async processing; blocked sessions,queue buildup; synchronized traffic bursts; limited runbook coverage; high-cardinality metrics,document runbook; add cache invalidation test; add load test scenario; introduce jittered exponential backoff
INC-0048,INC-0048_database-saturation-008.md,backoffice-api partial payment failures due to read replica overload,2025-05-31,SEV2,Global,Database Saturation,backoffice-api,SQL Server,read replica overload,dependency saturation,partial payment failures,170,intermittent 5xx errors; increased timeout rate; blocked sessions; partial customer impact; delayed async processing; pod restarts,dependency saturation; weak alerting; unclear ownership; synchronized traffic bursts,add bulkhead isolation; add load test scenario; introduce jittered exponential backoff; improve idempotency handling
INC-0049,INC-0049_database-saturation-009.md,settlement-worker partial payment failures due to deadlock loop,2025-06-01,SEV3,Global,Database Saturation,settlement-worker,MySQL,deadlock loop,queue buildup,partial payment failures,58,manual mitigation required; slow queries; blocked sessions; connection pool pressure; partial customer impact; increased timeout rate,queue buildup; manual rollback process; insufficient backpressure; high-cardinality metrics,add canary validation; add load test scenario; enforce config validation; add cache invalidation test
INC-0050,INC-0050_database-saturation-010.md,payment-api increased error rate due to vacuum/statistics delay causing bad query plans,2025-06-04,SEV2,EU-West,Database Saturation,payment-api,Dapper,vacuum/statistics delay causing bad query plans,transaction latency,increased error rate,105,retry spikes; inconsistent state observed by customers; slow queries; CPU saturation; delayed async processing; intermittent 5xx errors,transaction latency; manual rollback process; missing circuit breaker; weak alerting,add synthetic transaction check; add dependency saturation dashboard; improve idempotency handling; document runbook
INC-0051,INC-0051_messaging-failure-001.md,fraud-event-consumer delayed payouts due to rabbitmq queue growth after consumer crash loop,2025-06-09,SEV2,US-East,Queue / Messaging Failures,fraud-event-consumer,Kafka,RabbitMQ queue growth after consumer crash loop,message duplication,delayed payouts,160,intermittent 5xx errors; dead-letter growth; pod restarts; inconsistent state observed by customers; increased timeout rate; CPU saturation,message duplication; synchronized traffic bursts; manual rollback process; high-cardinality metrics,add synthetic transaction check; add cache invalidation test; document runbook; add canary validation
INC-0052,INC-0052_messaging-failure-002.md,message-dispatcher delayed payment status updates due to kafka partition imbalance,2025-06-11,SEV2,US-East,Queue / Messaging Failures,message-dispatcher,consumer group,Kafka partition imbalance,eventual consistency gap,delayed payment status updates,37,pod restarts; increased timeout rate; consumer lag; CPU saturation; dead-letter growth; inconsistent state observed by customers,eventual consistency gap; unclear ownership; insufficient backpressure; insufficient load testing,improve idempotency handling; document runbook; add dependency saturation dashboard; add cache invalidation test
INC-0053,INC-0053_messaging-failure-003.md,fraud-event-consumer inconsistent payment method availability due to poison message blocking consumer,2025-06-14,SEV2,US,Queue / Messaging Failures,fraud-event-consumer,Kafka,poison message blocking consumer,delayed processing,inconsistent payment method availability,174,intermittent 5xx errors; retry spikes; connection pool pressure; message redelivery spike; dead-letter growth; increased timeout rate,delayed processing; insufficient backpressure; weak alerting; synchronized traffic bursts,add SLO alerting; introduce jittered exponential backoff; add load test scenario; add cache invalidation test
INC-0054,INC-0054_messaging-failure-004.md,outbox-worker partial payment failures due to dead-letter queue flood,2025-06-17,SEV2,US-East,Queue / Messaging Failures,outbox-worker,consumer group,dead-letter queue flood,message duplication,partial payment failures,143,queue growth; CPU saturation; connection pool pressure; message redelivery spike; slow dependency calls; elevated p95 latency,message duplication; insufficient load testing; high-cardinality metrics; limited runbook coverage,add synthetic transaction check; enforce config validation; improve idempotency handling; add dependency saturation dashboard
INC-0055,INC-0055_messaging-failure-005.md,payment-status-consumer delayed payment status updates due to consumer lag after deployment,2025-06-19,SEV1,EU,Queue / Messaging Failures,payment-status-consumer,consumer group,consumer lag after deployment,message duplication,delayed payment status updates,177,intermittent 5xx errors; message redelivery spike; slow dependency calls; inconsistent state observed by customers; consumer lag; connection pool pressure,message duplication; lack of bulkhead isolation; manual rollback process; high-cardinality metrics,add dependency saturation dashboard; add cache invalidation test; add bulkhead isolation; document runbook
INC-0056,INC-0056_messaging-failure-006.md,payment-status-consumer merchant portal degradation due to message duplication due to publish retry,2025-06-22,SEV2,Global,Queue / Messaging Failures,payment-status-consumer,SQS,message duplication due to publish retry,delayed processing,merchant portal degradation,128,inconsistent state observed by customers; pod restarts; partial customer impact; message redelivery spike; intermittent 5xx errors; consumer lag,delayed processing; weak alerting; limited runbook coverage; missing circuit breaker,enforce config validation; add dependency saturation dashboard; add canary validation; introduce jittered exponential backoff
INC-0057,INC-0057_messaging-failure-007.md,fraud-event-consumer delayed payment status updates due to outbox processor stuck on locked rows,2025-06-27,SEV2,Global,Queue / Messaging Failures,fraud-event-consumer,RabbitMQ,outbox processor stuck on locked rows,eventual consistency gap,delayed payment status updates,130,increased timeout rate; intermittent 5xx errors; slow dependency calls; dead-letter growth; partial customer impact; message redelivery spike,eventual consistency gap; synchronized traffic bursts; insufficient load testing; unclear ownership,add dependency saturation dashboard; add canary validation; add bulkhead isolation; improve idempotency handling
INC-0058,INC-0058_messaging-failure-008.md,message-dispatcher inconsistent payment method availability due to missing backpressure in event pipeline,2025-06-30,SEV3,EU-West,Queue / Messaging Failures,message-dispatcher,SQL outbox,missing backpressure in event pipeline,delayed processing,inconsistent payment method availability,181,elevated p95 latency; slow dependency calls; inconsistent state observed by customers; delayed async processing; intermittent 5xx errors; message redelivery spike,delayed processing; weak alerting; high-cardinality metrics; insufficient load testing,introduce jittered exponential backoff; add cache invalidation test; enforce config validation; add dependency saturation dashboard
INC-0059,INC-0059_messaging-failure-009.md,outbox-worker elevated checkout latency due to topic retention misconfiguration,2025-07-02,SEV1,EU-West,Queue / Messaging Failures,outbox-worker,consumer group,topic retention misconfiguration,async backlog,elevated checkout latency,118,inconsistent state observed by customers; retry spikes; partial customer impact; intermittent 5xx errors; delayed async processing; consumer lag,async backlog; synchronized traffic bursts; missing circuit breaker; insufficient backpressure,add cache invalidation test; add dependency saturation dashboard; add load test scenario; add synthetic transaction check
